"ID","Name","object"
"403","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.019200680777430534""},""kd"":{""N"":""0.03719129040837288""},""ki"":{""N"":""0.005617827642709017""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""5.983871804911169""},""overshoot"":{""N"":""13.887094955761942""},""settlingTime"":{""N"":""18.7""}}}}"
"1432","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03799999877810478""},""kd"":{""N"":""0.034647129476070404""},""ki"":{""N"":""0.00800000037997961""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.7382716665285356""},""overshoot"":{""N"":""16.171562004890642""},""settlingTime"":{""N"":""12.577319587628866""}}}}"
"888","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.034970223903656006""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.5661938068426405""},""overshoot"":{""N"":""5.578679205858948""},""settlingTime"":{""N"":""10.700000000000001""}}}}"
"304","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.033978454768657684""},""kd"":{""N"":""0.036613382399082184""},""ki"":{""N"":""0.009893672540783882""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.24904533129686893""},""overshoot"":{""N"":""6.674419438912299""},""settlingTime"":{""N"":""12""}}}}"
"590","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.011622915975749493""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.14996889632885144""},""overshoot"":{""N"":""7.682046106663281""},""settlingTime"":{""N"":""10""}}}}"
"1314","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02982485294342041""},""kd"":{""N"":""0.03817962110042572""},""ki"":{""N"":""0.007887326180934906""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""3.366107563398283""},""overshoot"":{""N"":""4.6325590407177755""},""settlingTime"":{""N"":""16.5979381443299""}}}}"
"1435","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.041953131556510925""},""kd"":{""N"":""0.0385628417134285""},""ki"":{""N"":""0.011160238645970821""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0""},""overshoot"":{""N"":""11.765718133917238""},""settlingTime"":{""N"":""7.5257731958762895""}}}}"
"1454","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.04415572062134743""},""kd"":{""N"":""0.04094967991113663""},""ki"":{""N"":""0.0055927676148712635""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0""},""overshoot"":{""N"":""14.72494961138017""},""settlingTime"":{""N"":""5.876288659793815""}}}}"
"156","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03232486546039581""},""kd"":{""N"":""0.03756788372993469""},""ki"":{""N"":""0.00731657212600112""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""3.3638653944623025""},""overshoot"":{""N"":""3.780182576424996""},""settlingTime"":{""N"":""18.7""}}}}"
"978","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.010715475305914879""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.9611167885499496""},""overshoot"":{""N"":""24.649191677601273""},""settlingTime"":{""N"":""10.5""}}}}"
